City,Date,PM2.5,PM10,NO2,SO2,CO,O3,AQI,month,dayofweek,season,AQI_lag1,City_enc
Ahmedabad,2015-01-30,79.84,96.18,28.68,48.49,13.85,97.07,328.0,1,4,1,209.0,0
Ahmedabad,2015-01-31,94.52,96.18,32.66,67.39,24.39,111.33,514.0,1,5,1,328.0,0
Ahmedabad,2015-02-01,135.99,96.18,42.08,75.23,43.48,102.7,782.0,2,6,1,514.0,0
Ahmedabad,2015-02-02,178.33,96.18,35.31,55.04,54.56,107.38,914.0,2,0,1,782.0,0
Ahmedabad,2015-02-03,139.7,96.18,28.4,33.79,30.61,73.6,660.0,2,1,1,914.0,0
Ahmedabad,2015-02-04,80.65,96.18,22.83,25.73,2.37,47.3,294.0,2,2,1,660.0,0
Ahmedabad,2015-02-05,58.36,96.18,21.39,32.66,2.6,53.54,149.0,2,3,1,294.0,0
Ahmedabad,2015-02-06,79.29,96.18,26.94,67.41,1.16,59.3,190.0,2,4,1,149.0,0
Ahmedabad,2015-02-07,88.7,96.18,31.32,80.09,7.29,44.76,247.0,2,5,1,190.0,0
Ahmedabad,2015-02-08,74.28,96.18,27.3,54.28,8.92,47.42,379.0,2,6,1,247.0,0
Ahmedabad,2015-02-09,113.93,96.18,24.27,48.73,4.32,39.94,341.0,2,0,1,379.0,0
Ahmedabad,2015-02-10,105.39,96.18,18.21,35.91,1.41,56.15,256.0,2,1,1,341.0,0
Ahmedabad,2015-02-11,66.52,96.18,23.8,66.58,6.34,53.14,388.0,2,2,1,256.0,0
Ahmedabad,2015-02-12,65.04,96.18,30.1,65.91,14.19,31.88,288.0,2,3,1,388.0,0
Ahmedabad,2015-02-13,103.36,96.18,39.56,80.43,18.18,40.11,510.0,2,4,1,288.0,0
Ahmedabad,2015-02-14,177.33,96.18,47.58,99.72,37.49,36.47,761.0,2,5,1,510.0,0
Ahmedabad,2015-02-15,113.25,96.18,30.5,69.71,15.55,33.78,475.0,2,6,1,761.0,0
Ahmedabad,2015-02-16,99.7,96.18,28.1,73.23,19.85,30.57,536.0,2,0,1,475.0,0
Ahmedabad,2015-02-17,80.61,96.18,21.04,54.7,15.96,36.2,479.0,2,1,1,536.0,0
Ahmedabad,2015-02-18,100.79,96.18,25.93,43.11,16.24,37.43,592.0,2,2,1,479.0,0
Ahmedabad,2015-02-19,107.99,96.18,30.09,84.86,11.25,31.94,427.0,2,3,1,592.0,0
Ahmedabad,2015-02-20,140.29,96.18,36.14,101.53,33.84,40.98,588.0,2,4,1,427.0,0
Ahmedabad,2015-02-21,239.96,96.18,46.25,84.87,61.95,33.55,1141.0,2,5,1,588.0,0
Ahmedabad,2015-02-22,142.96,96.18,48.21,62.96,45.45,34.77,669.0,2,6,1,1141.0,0
Ahmedabad,2015-02-23,238.41,96.18,55.07,89.07,77.7,37.3,1247.0,2,0,1,669.0,0
Ahmedabad,2015-02-24,118.72,96.18,32.01,61.54,12.56,38.8,411.0,2,1,1,1247.0,0
Ahmedabad,2015-02-25,52.99,96.18,10.45,32.76,2.23,67.25,292.0,2,2,1,411.0,0
Ahmedabad,2015-03-02,60.78,96.18,18.21,29.48,9.07,34.75,189.0,3,0,1,292.0,0
Ahmedabad,2015-03-03,91.83,96.18,28.71,39.71,12.99,38.46,408.0,3,1,1,189.0,0
Ahmedabad,2015-03-04,93.88,96.18,29.38,62.75,18.21,46.79,383.0,3,2,1,408.0,0
Ahmedabad,2015-03-05,173.01,96.18,42.27,78.76,48.44,59.39,780.0,3,3,1,383.0,0
Ahmedabad,2015-03-08,71.56,96.18,16.83,30.28,3.51,57.16,190.0,3,6,1,780.0,0
Ahmedabad,2015-03-09,119.8,96.18,24.07,50.35,4.13,50.49,233.0,3,0,1,190.0,0
Ahmedabad,2015-03-10,106.71,96.18,25.59,38.85,5.39,60.17,297.0,3,1,1,233.0,0
Ahmedabad,2015-03-11,118.49,96.18,28.94,54.2,4.11,53.61,330.0,3,2,1,297.0,0
Ahmedabad,2015-03-12,106.01,96.18,27.31,70.29,4.28,40.91,252.0,3,3,1,330.0,0
Ahmedabad,2015-03-13,97.34,96.18,21.58,64.39,3.67,45.69,244.0,3,4,1,252.0,0
Ahmedabad,2015-03-14,83.92,96.18,25.03,67.53,6.42,34.94,234.0,3,5,1,244.0,0
